"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"	"B21"	"B22"	"B23"	"B24"	"B25"
"AK020107"	3	2	13	12	11	12	5	12	6	13	5	8	14	6	11	1	15	4	6	9	13	1	7	10	2
"AK020158"	12	4	16	11	10	7	7	16	16	15	3	14	11	2	14	16	7	14	4	11	14	5	2	14	15
"AK020168"	5	6	6	10	7	9	11	3	1	3	15	12	15	4	15	13	4	9	10	1	2	13	11	7	9
"AK020257"	15	9	14	5	15	6	4	10	15	16	14	1	14	11	2	10	8	12	9	6	12	2	13	15	13
"AK020289"	5	11	6	16	14	9	14	9	14	3	15	12	8	4	16	12	10	6	10	7	9	13	11	5	4
"AK020313"	15	9	14	5	15	6	4	10	15	16	14	1	1	11	2	8	8	12	7	6	12	2	13	15	13
"AK020360"	1	8	12	13	7	14	12	6	1	4	10	4	6	13	3	7	14	15	14	12	2	3	11	7	9
"AK020414"	6	6	7	10	1	8	13	4	13	6	16	10	9	14	16	13	13	1	1	1	10	16	15	9	4
"AK020424"	9	11	6	16	14	9	14	9	14	10	15	5	8	1	15	12	10	6	8	7	9	5	12	5	10
"AK020438"	7	9	8	5	6	16	6	10	10	16	14	13	1	11	9	5	9	12	13	6	16	2	13	8	13
"AK020500"	11	6	13	13	16	13	1	12	6	14	16	15	14	12	2	10	11	4	9	4	16	15	11	11	9
"AK020517"	11	9	8	1	6	16	3	5	10	2	2	15	13	15	2	10	9	16	9	2	16	14	8	8	8
"AK020598"	7	10	8	1	3	16	15	5	10	9	2	13	16	15	6	3	9	13	11	8	6	6	16	4	11
"AK020601"	3	2	10	12	11	12	1	12	7	13	5	8	4	6	11	1	15	4	6	9	13	1	7	10	2
"AK020664"	11	2	13	12	16	12	5	12	6	14	5	15	14	12	11	10	12	4	16	4	13	15	7	11	2
"AK020725"	7	12	8	1	6	16	3	5	10	2	2	13	13	15	8	4	9	16	11	8	6	14	8	8	8
"AK020759"	11	10	13	14	16	13	1	12	6	14	2	15	14	12	12	10	11	4	9	4	16	15	16	11	2
"AK020773"	10	5	1	3	9	1	10	14	8	11	13	16	10	14	10	15	5	8	5	16	15	4	14	3	16
"AK020954"	5	16	13	16	16	9	1	3	1	3	15	12	15	12	12	14	4	9	10	13	2	13	11	11	9
"AK021024"	13	16	3	16	7	14	11	3	1	3	11	12	8	13	15	14	2	15	10	13	2	13	11	7	9
"AK021026"	12	4	16	6	10	7	7	16	16	15	12	14	11	2	14	16	6	14	3	11	14	8	2	14	15
"AK021217"	3	13	9	12	5	12	5	2	5	13	8	8	2	6	4	2	12	2	6	3	13	1	7	10	1
"AK021265"	5	16	1	15	7	1	11	3	8	3	16	12	15	14	15	14	12	8	10	13	2	13	11	7	9
"AK021321"	1	4	4	2	4	7	12	16	16	15	12	14	6	2	7	7	14	15	14	11	4	8	10	2	15
"AK021343"	11	9	14	5	15	6	4	10	15	16	14	15	14	11	2	10	11	4	13	4	12	2	13	15	13
"AK021408"	2	13	9	7	13	4	16	8	2	5	8	7	7	1	4	9	3	2	2	15	7	12	5	12	14
